HGNC ID	Approved symbol	Approved name	OMIM ID(supplied by OMIM)	MANE Select Ensembl transcript ID (supplied by NCBI)	MANE Select RefSeq transcript ID (supplied by NCBI)
HGNC:280	ADRA1D	adrenoceptor alpha 1D	104219	ENST00000379453.6	NM_000678.4
HGNC:281	ADRA2A	adrenoceptor alpha 2A	104210	ENST00000280155.4	NM_000681.4
HGNC:282	ADRA2B	adrenoceptor alpha 2B	104260	ENST00000620793.2	NM_000682.7
HGNC:283	ADRA2C	adrenoceptor alpha 2C	104250	ENST00000330055.7	NM_000683.4
HGNC:284	ADRA2L1	symbol withdrawn, see [HGNC:282](/data/gene-symbol-report/#!/hgnc_id/HGNC:282)			
HGNC:285	ADRB1	adrenoceptor beta 1	109630	ENST00000369295.4	NM_000684.3
HGNC:286	ADRB2	adrenoceptor beta 2	109690	ENST00000305988.6	NM_000024.6
HGNC:287	ADRB2RL1	symbol withdrawn, see [HGNC:5286](/data/gene-symbol-report/#!/hgnc_id/HGNC:5286)			
HGNC:288	ADRB3	adrenoceptor beta 3	109691	ENST00000345060.5	NM_000025.3
HGNC:15759	ADRM1	ADRM1 26S proteasome ubiquitin receptor	610650	ENST00000253003.7	NM_007002.4
HGNC:291	ADSL	adenylosuccinate lyase	608222	ENST00000623063.3	NM_000026.4
HGNC:20093	ADSS1	adenylosuccinate synthase 1	612498	ENST00000330877.7	NM_152328.5
HGNC:292	ADSS2	adenylosuccinate synthase 2	103060	ENST00000366535.4	NM_001126.5
HGNC:293	ADT	ADT unknown			
HGNC:294	ADTAA	symbol withdrawn, see [HGNC:561](/data/gene-symbol-report/#!/hgnc_id/HGNC:561)			
HGNC:295	ADTAB	symbol withdrawn, see [HGNC:562](/data/gene-symbol-report/#!/hgnc_id/HGNC:562)			
HGNC:296	ADTB1	symbol withdrawn, see [HGNC:554](/data/gene-symbol-report/#!/hgnc_id/HGNC:554)			
HGNC:299	ADTB2	symbol withdrawn, see [HGNC:563](/data/gene-symbol-report/#!/hgnc_id/HGNC:563)			
HGNC:300	ADTG	symbol withdrawn, see [HGNC:555](/data/gene-symbol-report/#!/hgnc_id/HGNC:555)			
HGNC:21214	ADTRP	androgen dependent TFPI regulating protein	614348	ENST00000414691.8	NM_032744.4
HGNC:301	AE1	symbol withdrawn, see [HGNC:11027](/data/gene-symbol-report/#!/hgnc_id/HGNC:11027)			
HGNC:302	AE2	symbol withdrawn, see [HGNC:11028](/data/gene-symbol-report/#!/hgnc_id/HGNC:11028)			
HGNC:303	AEBP1	AE binding protein 1	602981	ENST00000223357.8	NM_001129.5
HGNC:24051	AEBP2	AE binding protein 2	617934	ENST00000266508.14	NM_153207.5
HGNC:305	AEMK	symbol withdrawn, see [HGNC:6218](/data/gene-symbol-report/#!/hgnc_id/HGNC:6218)			
HGNC:25722	AEN	apoptosis enhancing nuclease	610177	ENST00000332810.4	NM_022767.4
HGNC:306	AEPLC	symbol withdrawn, see [HGNC:934](/data/gene-symbol-report/#!/hgnc_id/HGNC:934)			
HGNC:308	AEZ	symbol withdrawn, see [HGNC:17129](/data/gene-symbol-report/#!/hgnc_id/HGNC:17129)			
HGNC:309	AF8T	AF8 temperature sensitivity complementing			
HGNC:310	AFA	ankyloblepharon filiforme adnatum			
HGNC:24017	AFAP1	actin filament associated protein 1	608252	ENST00000420658.6	NM_001134647.2
HGNC:28141	AFAP1-AS1	AFAP1 antisense RNA 1	619779		
HGNC:26714	AFAP1L1	actin filament associated protein 1 like 1	614410	ENST00000296721.9	NM_152406.4
HGNC:25901	AFAP1L2	actin filament associated protein 1 like 2	612420	ENST00000304129.9	NM_001001936.3
HGNC:311	AFCP	symbol withdrawn, see [HGNC:1474](/data/gene-symbol-report/#!/hgnc_id/HGNC:1474)			
HGNC:312	AFD1	acrofacial dysostosis 1, Nager type			
HGNC:7137	AFDN	afadin, adherens junction formation factor	159559	ENST00000683244.1	NM_001386888.1
HGNC:21236	AFDN-DT	AFDN divergent transcript			
HGNC:7135	AFF1	AF4/FMR2 family member 1	159557	ENST00000395146.9	NM_001166693.3
HGNC:53447	AFF1-AS1	AFF1 antisense RNA 1			
HGNC:3776	AFF2	AF4/FMR2 family member 2	300806	ENST00000370460.7	NM_002025.4
HGNC:41334	AFF2-IT1	AFF2 intronic transcript 1			
HGNC:6473	AFF3	AF4/FMR2 family member 3	601464	ENST00000672756.2	NM_001386135.1
HGNC:17869	AFF4	AF4/FMR2 family member 4	604417	ENST00000265343.10	NM_014423.4
HGNC:55235	AFF4-DT	AFF4 divergent transcript			
HGNC:16411	AFG1L	AFG1 like ATPase	617469	ENST00000368977.9	NM_145315.5
HGNC:313	AFG3	symbol withdrawn, see [HGNC:314](/data/gene-symbol-report/#!/hgnc_id/HGNC:314)			
HGNC:314	AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene	603020		
HGNC:315	AFG3L2	AFG3 like matrix AAA peptidase subunit 2	604581	ENST00000269143.8	NM_006796.3
HGNC:24169	AFG3L2P1	AFG3L2 pseudogene 1			
HGNC:316	AFM	afamin	104145	ENST00000226355.5	NM_001133.2
HGNC:20910	AFMID	arylformamidase		ENST00000409257.10	NM_001010982.5
HGNC:317	AFP	alpha fetoprotein	104150	ENST00000395792.7	NM_001134.3
HGNC:25951	AFTPH	aftiphilin	619628		
HGNC:52788	AFTPH-DT	AFTPH divergent transcript			
HGNC:318	AGA	aspartylglucosaminidase	613228	ENST00000264595.7	NM_000027.4
HGNC:27730	AGA-DT	AGA divergent transcript			
HGNC:16922	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	608651	ENST00000304032.13	NM_001037131.3
HGNC:41427	AGAP1-IT1	AGAP1 intronic transcript 1			
HGNC:16921	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	605476	ENST00000547588.6	NM_001122772.3
HGNC:48633	AGAP2-AS1	AGAP2 antisense RNA 1			
HGNC:16923	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	616813	ENST00000397238.7	NM_031946.7
HGNC:23459	AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4		ENST00000616763.6	NM_001276343.3
HGNC:23467	AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5		ENST00000374094.9	NM_001144000.4
HGNC:23466	AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6		ENST00000412531.7	NM_001077665.3
HGNC:23465	AGAP7P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene			
HGNC:23464	AGAP8	symbol withdrawn, see [HGNC:23459](/data/gene-symbol-report/#!/hgnc_id/HGNC:23459)			
HGNC:23463	AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9		ENST00000452145.6	NM_001190810.1
HGNC:23462	AGAP10	symbol withdrawn, see [HGNC:23659](/data/gene-symbol-report/#!/hgnc_id/HGNC:23659)			
HGNC:23659	AGAP10P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 10, pseudogene			
HGNC:29421	AGAP11	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11			
HGNC:23661	AGAP12P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene			
HGNC:23499	AGAP13P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 13, pseudogene			
HGNC:23660	AGAP14P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 14, pseudogene			
HGNC:26504	AGBL1	AGBL carboxypeptidase 1	615496	ENST00000614907.3	NM_001386094.1
HGNC:48617	AGBL1-AS1	AGBL1 antisense RNA 1			
HGNC:26296	AGBL2	AGBL carboxypeptidase 2	617345	ENST00000525123.6	NM_024783.4
HGNC:27981	AGBL3	AGBL carboxypeptidase 3	617346	ENST00000436302.6	NM_178563.4
HGNC:25892	AGBL4	AGBL carboxypeptidase 4	616476	ENST00000371839.6	NM_032785.4
HGNC:41123	AGBL4-AS1	AGBL4 antisense RNA 1			
HGNC:41482	AGBL4-IT1	AGBL4 intronic transcript 1			
HGNC:26147	AGBL5	AGBL carboxypeptidase 5	615900	ENST00000360131.5	NM_021831.6
HGNC:41133	AGBL5-AS1	AGBL5 antisense RNA 1			
HGNC:41484	AGBL5-IT1	AGBL5 intronic transcript 1			
HGNC:320	AGER	advanced glycosylation end-product specific receptor	600214	ENST00000375076.9	NM_001136.5
HGNC:5175	AGFG1	ArfGAP with FG repeats 1	600862	ENST00000310078.13	NM_004504.5
HGNC:5177	AGFG2	ArfGAP with FG repeats 2	604019	ENST00000300176.9	NM_006076.5
HGNC:24684	AGGF1	angiogenic factor with G-patch and FHA domains 1	608464	ENST00000312916.12	NM_018046.5
HGNC:38051	AGGF1P1	angiogenic factor with G-patch and FHA domains 1 pseudogene 1			
HGNC:38052	AGGF1P2	angiogenic factor with G-patch and FHA domains 1 pseudogene 2			
HGNC:38053	AGGF1P3	angiogenic factor with G-patch and FHA domains 1 pseudogene 3			
HGNC:38054	AGGF1P4	angiogenic factor with G-patch and FHA domains 1 pseudogene 4			
HGNC:51741	AGGF1P5	angiogenic factor with G-patch and FHA domains 1 pseudogene 5			
HGNC:51744	AGGF1P6	angiogenic factor with G-patch and FHA domains 1 pseudogene 6			
HGNC:51740	AGGF1P7	angiogenic factor with G-patch and FHA domains 1 pseudogene 7			
HGNC:51745	AGGF1P8	angiogenic factor with G-patch and FHA domains 1 pseudogene 8			
HGNC:51746	AGGF1P9	angiogenic factor with G-patch and FHA domains 1 pseudogene 9			
HGNC:51747	AGGF1P10	angiogenic factor with G-patch and FHA domains 1 pseudogene 10			
HGNC:21869	AGK	acylglycerol kinase	610345	ENST00000649286.2	NM_018238.4
HGNC:55356	AGK-DT	AGK divergent transcript			
HGNC:37661	AGKP1	AGK pseudogene 1			
HGNC:55132	AGKP2	AGK pseudogene 2			
HGNC:321	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	610860	ENST00000361915.8	NM_000642.3
HGNC:18407	AGMAT	agmatinase	617887	ENST00000375826.4	NM_024758.5
HGNC:33784	AGMO	alkylglycerol monooxygenase	613738	ENST00000342526.8	NM_001004320.2
HGNC:322	AGMX1	symbol withdrawn, see [HGNC:1133](/data/gene-symbol-report/#!/hgnc_id/HGNC:1133)			
HGNC:323	AGMX2	agammaglobulinemia, X-linked 2 (with growth hormone deficiency)			
HGNC:3262	AGO1	argonaute RISC component 1	606228	ENST00000373204.6	NM_012199.5
HGNC:3263	AGO2	argonaute RISC catalytic component 2	606229	ENST00000220592.10	NM_012154.5
HGNC:18421	AGO3	argonaute RISC catalytic component 3	607355	ENST00000373191.9	NM_024852.4
HGNC:18424	AGO4	argonaute RISC component 4	607356	ENST00000373210.4	NM_017629.4
HGNC:324	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	603099	ENST00000375107.8	NM_006411.4
HGNC:325	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	603100	ENST00000371696.7	NM_006412.4
HGNC:326	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	614794	ENST00000291572.13	NM_020132.5
HGNC:20885	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	614795	ENST00000320285.9	NM_020133.3
HGNC:20988	AGPAT4-IT1	AGPAT4 intronic transcript 1			
HGNC:20886	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	614796	ENST00000285518.11	NM_018361.5
HGNC:37709	AGPAT5P1	1-acylglycerol-3-phosphate O-acyltransferase 5 pseudogene 1			
HGNC:327	AGPS	alkylglycerone phosphate synthase	603051	ENST00000264167.11	NM_003659.4
HGNC:328	AGR2	anterior gradient 2, protein disulphide isomerase family member	606358	ENST00000419304.7	NM_006408.4
HGNC:24167	AGR3	anterior gradient 3, protein disulphide isomerase family member	609482	ENST00000310398.7	NM_176813.5
HGNC:329	AGRN	agrin	103320	ENST00000379370.7	NM_198576.4
HGNC:330	AGRP	agouti related neuropeptide	602311	ENST00000290953.3	NM_001138.2
HGNC:331	AGS	symbol withdrawn, see [HGNC:6188](/data/gene-symbol-report/#!/hgnc_id/HGNC:6188)			
HGNC:332	AGS1	symbol withdrawn, see [HGNC:12269](/data/gene-symbol-report/#!/hgnc_id/HGNC:12269)			
HGNC:31917	AGS2	symbol withdrawn, see [HGNC:25671](/data/gene-symbol-report/#!/hgnc_id/HGNC:25671)			
HGNC:333	AGT	angiotensinogen	106150	ENST00000366667.6	NM_001384479.1
HGNC:334	AGTBP	symbol withdrawn, see [HGNC:16058](/data/gene-symbol-report/#!/hgnc_id/HGNC:16058)			
HGNC:335	AGTIL	symbol withdrawn, see [HGNC:745](/data/gene-symbol-report/#!/hgnc_id/HGNC:745)			
HGNC:17258	AGTPBP1	ATP/GTP binding carboxypeptidase 1	606830	ENST00000357081.8	NM_001330701.2
HGNC:336	AGTR1	angiotensin II receptor type 1	106165	ENST00000349243.8	NM_000685.5
HGNC:337	AGTR1B	symbol withdrawn, see [HGNC:336](/data/gene-symbol-report/#!/hgnc_id/HGNC:336)			
HGNC:338	AGTR2	angiotensin II receptor type 2	300034	ENST00000371906.5	NM_000686.5
HGNC:13539	AGTRAP	angiotensin II receptor associated protein	608729	ENST00000314340.10	NM_020350.5
HGNC:340	AGTRL2	angiotensin II receptor-like 2			
HGNC:341	AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase	604285	ENST00000307503.4	NM_000030.3
HGNC:14412	AGXT2	alanine--glyoxylate aminotransferase 2	612471	ENST00000231420.11	NM_031900.4
HGNC:342	AHC	symbol withdrawn, see [HGNC:7960](/data/gene-symbol-report/#!/hgnc_id/HGNC:7960)			
HGNC:24618	AHCTF1	AT-hook containing transcription factor 1	610853	ENST00000648844.2	NM_001323342.2
HGNC:24620	AHCTF1P1	AT-hook containing transcription factor 1 pseudogene 1			
HGNC:343	AHCY	adenosylhomocysteinase	180960	ENST00000217426.7	NM_000687.4
HGNC:344	AHCYL1	adenosylhomocysteinase like 1	607826	ENST00000369799.10	NM_006621.7
HGNC:22204	AHCYL2	adenosylhomocysteinase like 2	616520	ENST00000325006.8	NM_015328.4
HGNC:44993	AHCYP1	adenosylhomocysteinase pseudogene 1			
HGNC:44994	AHCYP2	adenosylhomocysteinase pseudogene 2			
HGNC:44995	AHCYP3	adenosylhomocysteinase pseudogene 3			
HGNC:44996	AHCYP4	adenosylhomocysteinase pseudogene 4			
HGNC:44997	AHCYP5	adenosylhomocysteinase pseudogene 5			
HGNC:44998	AHCYP6	adenosylhomocysteinase pseudogene 6			
HGNC:44999	AHCYP7	adenosylhomocysteinase pseudogene 7			
HGNC:45000	AHCYP8	adenosylhomocysteinase pseudogene 8			
HGNC:25230	AHDC1	AT-hook DNA binding motif containing 1	615790	ENST00000673934.1	NM_001371928.1
HGNC:345	AHDS	symbol withdrawn, see [HGNC:10923](/data/gene-symbol-report/#!/hgnc_id/HGNC:10923)			
HGNC:21575	AHI1	Abelson helper integration site 1	608894	ENST00000265602.11	NM_001134831.2
HGNC:32526	AHI1-DT	AHI1 divergent transcript			
HGNC:347	AHNAK	AHNAK nucleoprotein	103390	ENST00000378024.9	NM_001620.3
HGNC:20125	AHNAK2	AHNAK nucleoprotein 2	608570	ENST00000333244.6	NM_138420.4
HGNC:348	AHR	aryl hydrocarbon receptor	600253	ENST00000242057.9	NM_001621.5
HGNC:346	AHRR	aryl hydrocarbon receptor repressor	606517	ENST00000684583.1	NM_001377236.1
HGNC:1189	AHSA1	activator of HSP90 ATPase activity 1	608466	ENST00000216479.8	NM_012111.3
HGNC:20437	AHSA2P	activator of HSP90 ATPase homolog 2, pseudogene			
HGNC:349	AHSG	alpha 2-HS glycoprotein	138680	ENST00000411641.7	NM_001622.4
HGNC:18075	AHSP	alpha hemoglobin stabilizing protein	605821	ENST00000302312.9	NM_016633.4
HGNC:350	AIC	Aicardi syndrome			
HGNC:13203	AICDA	activation induced cytidine deaminase	605257	ENST00000229335.11	NM_020661.4
HGNC:25761	AIDA	axin interactor, dorsalization associated	612375	ENST00000340020.11	NM_022831.4
HGNC:54663	AIDAP1	AIDA pseudogene 1			
HGNC:54664	AIDAP2	AIDA pseudogene 2			
HGNC:54665	AIDAP3	AIDA pseudogene 3			
HGNC:351	AIED	symbol withdrawn, see [HGNC:1393](/data/gene-symbol-report/#!/hgnc_id/HGNC:1393)			
HGNC:352	AIF1	allograft inflammatory factor 1	601833	ENST00000376059.8	NM_001623.5
HGNC:28904	AIF1L	allograft inflammatory factor 1 like		ENST00000247291.8	NM_031426.4
HGNC:8768	AIFM1	apoptosis inducing factor mitochondria associated 1	300169	ENST00000287295.8	NM_004208.4
HGNC:44884	AIFM1P1	AIFM1 pseudogene 1			
HGNC:21411	AIFM2	apoptosis inducing factor mitochondria associated 2	605159	ENST00000307864.3	NM_032797.6
HGNC:26398	AIFM3	apoptosis inducing factor mitochondria associated 3	617298	ENST00000440238.4	NM_001386814.1
HGNC:21607	AIG1	androgen induced 1	608514	ENST00000357847.9	NM_016108.4
HGNC:43926	AIG1P1	androgen induced 1 pseudogene 1			
HGNC:353	AIH1	symbol withdrawn, see [HGNC:461](/data/gene-symbol-report/#!/hgnc_id/HGNC:461)			
HGNC:354	AIH2	symbol withdrawn, see [HGNC:3344](/data/gene-symbol-report/#!/hgnc_id/HGNC:3344)			
HGNC:355	AIH3	amelogenesis imperfecta 3, hypomaturation or hypoplastic type			
HGNC:357	AIM2	absent in melanoma 2	604578	ENST00000368130.9	NM_004833.3
HGNC:10648	AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1	603605	ENST00000672341.1	NM_001142416.2
HGNC:16543	AIMP1P1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 pseudogene 1			
HGNC:43693	AIMP1P2	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 pseudogene 2			
HGNC:20609	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2	600859	ENST00000223029.8	NM_006303.4
HGNC:358	AIP	aryl hydrocarbon receptor interacting protein	605555	ENST00000279146.8	NM_003977.4
HGNC:359	AIPL1	aryl hydrocarbon receptor interacting protein like 1	604392	ENST00000381129.8	NM_014336.5
HGNC:360	AIRE	autoimmune regulator	607358	ENST00000291582.6	NM_000383.4
HGNC:34515	AIRN	antisense of IGF2R non-protein coding RNA	604893		
HGNC:16304	AIS1	autoimmune susceptibility 1			
HGNC:23054	AIS2	autoimmune susceptibility 2			
HGNC:23083	AIS3	autoimmune susceptibility 3 (vitiligo specific)			
HGNC:30801	AJAP1	adherens junctions associated protein 1	610972	ENST00000378191.5	NM_018836.4
HGNC:37284	AJM1	apical junction component 1 homolog		ENST00000436881.3	NM_001080482.5
HGNC:20250	AJUBA	ajuba LIM protein	609066	ENST00000262713.7	NM_032876.6
HGNC:55449	AJUBA-DT	AJUBA divergent transcript			
HGNC:361	AK1	adenylate kinase 1	103000	ENST00000644144.2	NM_000476.3
HGNC:362	AK2	adenylate kinase 2	103020	ENST00000672715.1	NM_001625.4
HGNC:24037	AK2P1	adenylate kinase 2 pseudogene 1			
HGNC:33542	AK2P2	adenylate kinase 2 pseudogene 2			
HGNC:17376	AK3	adenylate kinase 3	609290	ENST00000381809.8	NM_016282.4
HGNC:31099	AK3P2	adenylate kinase 3 pseudogene 2			
HGNC:39062	AK3P3	adenylate kinase 3 pseudogene 3			
HGNC:39063	AK3P4	adenylate kinase 3 pseudogene 4			
HGNC:39064	AK3P5	adenylate kinase 3 pseudogene 5			
HGNC:39065	AK3P6	adenylate kinase 3 pseudogene 6			
HGNC:363	AK4	adenylate kinase 4	103030	ENST00000327299.8	NM_013410.4
HGNC:364	AK4P1	adenylate kinase 4 pseudogene 1			
HGNC:39066	AK4P2	adenylate kinase 4 pseudogene 2			
HGNC:21596	AK4P3	adenylate kinase 4 pseudogene 3			
HGNC:39067	AK4P4	adenylate kinase 4 pseudogene 4			
HGNC:39068	AK4P5	adenylate kinase 4 pseudogene 5			
HGNC:39069	AK4P6	adenylate kinase 4 pseudogene 6			
HGNC:365	AK5	adenylate kinase 5	608009	ENST00000354567.7	NM_174858.3
HGNC:49151	AK6	adenylate kinase 6	619357	ENST00000380822.9	NM_016283.5
HGNC:366	AK6	symbol withdrawn, see [HGNC:17376](/data/gene-symbol-report/#!/hgnc_id/HGNC:17376)			
HGNC:51678	AK6P1	adenylate kinase 6 pseudogene 1			
HGNC:51679	AK6P2	adenylate kinase 6 pseudogene 2			
HGNC:20091	AK7	adenylate kinase 7	615364	ENST00000267584.9	NM_152327.5
HGNC:26526	AK8	adenylate kinase 8	615365	ENST00000298545.4	NM_152572.3
HGNC:33814	AK9	adenylate kinase 9	615358	ENST00000424296.7	NM_001145128.3
HGNC:28285	AKAIN1	A-kinase anchor inhibitor 1	616427	ENST00000434239.4	NM_001145194.2
HGNC:367	AKAP1	A-kinase anchoring protein 1	602449	ENST00000337714.8	NM_003488.4
HGNC:55339	AKAP1-DT	AKAP1 divergent transcript			
HGNC:372	AKAP2	A-kinase anchoring protein 2			
HGNC:373	AKAP3	A-kinase anchoring protein 3	604689	ENST00000228850.6	NM_001278309.2
HGNC:374	AKAP4	A-kinase anchoring protein 4	300185	ENST00000358526.7	NM_003886.3
HGNC:375	AKAP5	A-kinase anchoring protein 5	604688	ENST00000394718.4	NM_004857.3
HGNC:376	AKAP6	A-kinase anchoring protein 6	604691	ENST00000280979.9	NM_004274.5
HGNC:377	AKAP7	A-kinase anchoring protein 7	604693	ENST00000431975.7	NM_016377.4
HGNC:378	AKAP8	A-kinase anchoring protein 8	604692	ENST00000269701.7	NM_005858.4
HGNC:29857	AKAP8L	A-kinase anchoring protein 8 like	609475	ENST00000397410.10	NM_014371.4
HGNC:49758	AKAP8P1	A-kinase anchoring protein 8 pseudogene 1			
HGNC:379	AKAP9	A-kinase anchoring protein 9	604001	ENST00000356239.8	NM_005751.5
HGNC:368	AKAP10	A-kinase anchoring protein 10	604694	ENST00000225737.11	NM_007202.4
HGNC:369	AKAP11	A-kinase anchoring protein 11	604696	ENST00000025301.4	NM_016248.4
HGNC:39939	AKAP11-IT1	AKPA11 intronic transcript 1 (non-protein coding)			
HGNC:370	AKAP12	A-kinase anchoring protein 12	604698	ENST00000402676.7	NM_005100.4
HGNC:371	AKAP13	A-kinase anchoring protein 13	604686	ENST00000394518.7	NM_007200.5
HGNC:55975	AKAP13-AS1	AKAP13 antisense RNA 1			
HGNC:24061	AKAP14	A-kinase anchoring protein 14	300462	ENST00000371431.8	NM_178813.6
HGNC:18783	AKAP17A	A-kinase anchoring protein 17A	312095, 465000	ENST00000313871.9	NM_005088.3
HGNC:38514	AKAP17BP	A-kinase anchoring protein 17B, pseudogene			
HGNC:21618	AKD2	symbol withdrawn, see [HGNC:33814](/data/gene-symbol-report/#!/hgnc_id/HGNC:33814)			
HGNC:1170	AKIP1	A-kinase interacting protein 1	609191	ENST00000309377.9	NM_020642.4
HGNC:25744	AKIRIN1	akirin 1	615164	ENST00000432648.8	NM_024595.3
HGNC:50794	AKIRIN1P1	akirin 1 pseudogene 1			
HGNC:50797	AKIRIN1P2	akirin 1 pseudogene 2			
HGNC:21407	AKIRIN2	akirin 2	615165	ENST00000257787.6	NM_018064.4
HGNC:28822	AKIRIN2-AS1	AKIRIN2 antisense RNA 1			
HGNC:50796	AKIRIN2P1	akirin 2 pseudogene 1			
HGNC:24108	AKNA	AT-hook transcription factor	605729	ENST00000374088.8	NM_001317950.2
HGNC:28398	AKNAD1	AKNA domain containing 1		ENST00000370001.8	NM_152763.5
HGNC:380	AKR1A1	aldo-keto reductase family 1 member A1	103830	ENST00000351829.9	NM_153326.3
HGNC:381	AKR1B1	aldo-keto reductase family 1 member B	103880	ENST00000285930.9	NM_001628.4
HGNC:420	AKR1B1P1	aldehyde reductase family 1 member B1 pseudogene 1			
HGNC:425	AKR1B1P2	aldo-keto reductase family 1 member B1 pseudogene 2			
HGNC:422	AKR1B1P3	aldo-keto reductase family 1 member B1 pseudogene 3			
HGNC:423	AKR1B1P4	aldo-keto reductase family 1 member B1 pseudogene 4			
HGNC:20002	AKR1B1P5	aldo-keto reductase family 1 member B1 pseudogene 5			
HGNC:33498	AKR1B1P6	aldo-keto reductase family 1 member B1 pseudogene 6			
HGNC:33497	AKR1B1P7	aldo-keto reductase family 1 member B1 pseudogene 7			
HGNC:33496	AKR1B1P8	aldo-keto reductase family 1 member B1 pseudogene 8			
HGNC:382	AKR1B10	aldo-keto reductase family 1 member B10	604707	ENST00000359579.5	NM_020299.5
HGNC:45062	AKR1B10P1	aldo-keto reductase family 1 member B10 pseudogene 1			
HGNC:45063	AKR1B10P2	aldo-keto reductase family 1 member B10 pseudogene 2			
HGNC:383	AKR1B11	symbol withdrawn, see [HGNC:382](/data/gene-symbol-report/#!/hgnc_id/HGNC:382)			
HGNC:37281	AKR1B15	aldo-keto reductase family 1 member B15	616336	ENST00000457545.7	NM_001080538.3
HGNC:384	AKR1C1	aldo-keto reductase family 1 member C1	600449	ENST00000380872.9	NM_001353.6
HGNC:385	AKR1C2	aldo-keto reductase family 1 member C2	600450	ENST00000380753.9	NM_001393392.1
HGNC:386	AKR1C3	aldo-keto reductase family 1 member C3	603966	ENST00000380554.5	NM_003739.6
HGNC:387	AKR1C4	aldo-keto reductase family 1 member C4	600451	ENST00000263126.3	NM_001818.5
HGNC:44679	AKR1C5P	aldo-keto reductase family 1 member C5, pseudogene			
HGNC:44680	AKR1C6P	aldo-keto reductase family 1 member C6, pseudogene			
HGNC:44681	AKR1C7P	aldo-keto reductase family 1 member C7, pseudogene			
HGNC:23469	AKR1C8	aldo-keto reductase family 1 member C8			
HGNC:388	AKR1D1	aldo-keto reductase family 1 member D1	604741	ENST00000242375.8	NM_005989.4
HGNC:11288	AKR1D1P1	aldo-keto reductase family 1 member D1 pseudogene 1			
HGNC:23437	AKR1E2	aldo-keto reductase family 1 member E2	617451	ENST00000298375.12	NM_001040177.3
HGNC:389	AKR7A2	aldo-keto reductase family 7 member A2	603418	ENST00000235835.8	NM_003689.4
HGNC:24062	AKR7A2P1	AKR7A2 pseudogene 1			
HGNC:55059	AKR7A2P2	AKR7A2P pseudogene 1			
HGNC:390	AKR7A3	aldo-keto reductase family 7 member A3	608477	ENST00000361640.5	NM_012067.3
HGNC:24056	AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)	608478		
HGNC:391	AKT1	AKT serine/threonine kinase 1	164730	ENST00000649815.2	NM_001382430.1
HGNC:28426	AKT1S1	AKT1 substrate 1	610221	ENST00000344175.10	NM_001098633.4
HGNC:392	AKT2	AKT serine/threonine kinase 2	164731	ENST00000392038.7	NM_001626.6
HGNC:393	AKT3	AKT serine/threonine kinase 3	611223	ENST00000673466.1	NM_005465.7
HGNC:41304	AKT3-IT1	AKT3 intronic transcript 1			
HGNC:16710	AKTIP	AKT interacting protein	608483	ENST00000394657.12	NM_022476.4
HGNC:394	AKU	symbol withdrawn, see [HGNC:4892](/data/gene-symbol-report/#!/hgnc_id/HGNC:4892)			
HGNC:395	ALAD	aminolevulinate dehydratase	125270	ENST00000409155.8	NM_000031.6
HGNC:396	ALAS1	5'-aminolevulinate synthase 1	125290	ENST00000484952.6	NM_000688.6
HGNC:397	ALAS2	5'-aminolevulinate synthase 2	301300	ENST00000650242.1	NM_000032.5
HGNC:398	ALAS3	symbol withdrawn, see [HGNC:396](/data/gene-symbol-report/#!/hgnc_id/HGNC:396)			
HGNC:399	ALB	albumin	103600	ENST00000295897.9	NM_000477.7
HGNC:400	ALCAM	activated leukocyte cell adhesion molecule	601662	ENST00000306107.9	NM_001627.4
HGNC:401	ALD	symbol withdrawn, see [HGNC:61](/data/gene-symbol-report/#!/hgnc_id/HGNC:61)			
HGNC:402	ALDH1A1	aldehyde dehydrogenase 1 family member A1	100640	ENST00000297785.8	NM_000689.5
